GUID,Id,Kostengruppe,Best_Predicted_Kostengruppe
56854760-9c59-429a-8a85-b8050f21570a-009ad165,10146149,345,345
ffe21c6b-b617-437c-a473-101de75ff912-007f592a,8351025,346,346
1f7dda17-8368-4b30-a8c5-c1090db46409-009c439e,10240926,345,345
1f7dda17-8368-4b30-a8c5-c1090db46409-009c4095,10240149,345,345
1f7dda17-8368-4b30-a8c5-c1090db46409-009c4d9e,10243486,345,345
366c7d0d-be07-4a6d-a409-4b61f629d5aa-0057c932,5753138,341,341
366c7d0d-be07-4a6d-a409-4b61f629d5aa-0057c930,5753136,341,341
366c7d0d-be07-4a6d-a409-4b61f629d5aa-0057c931,5753137,341,341
be4d2bb9-555b-43de-a812-6ec9189d168c-009aed5d,10153309,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb965,10271077,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb964,10271076,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb966,10271078,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb961,10271073,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb960,10271072,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb963,10271075,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb962,10271074,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cb666,10270310,345,345
c720ae94-2db6-469c-9e50-f305ae4d1899-0056e1d8,5693912,346,346
c720ae94-2db6-469c-9e50-f305ae4d1899-0056e0d7,5693655,346,346
cf33955d-cd16-4b37-b39f-0baf2a8079d3-00681563,6821219,346,346
cf33955d-cd16-4b37-b39f-0baf2a8079d3-00681562,6821218,346,346
5641bf97-2f34-40bf-908c-1acdc0bb6608-0059bcb1,5882116,345,345
b3993a0a-e561-4037-959e-53e57bb6f89d-005ebfdd,6209501,335,335
4ca52816-668b-4024-a521-0a2b655dbb71-008ded48,9301320,335,335
0a6d6856-7ac3-4db2-bd64-af32aa96d481-0078a9ec,7907820,346,346
0a6d6856-7ac3-4db2-bd64-af32aa96d481-0078aae8,7908072,346,346
